Model,Scoring,AUC,pAUC
Baseline AE (MSE),Reconstruction,0.5030530612244898,0.03706122448979592
Multi-Task (MSE),Reconstruction,0.5050755102040816,0.03910204081632653
Baseline AE (k-NN),Latent k-NN,0.5038163265306123,0.061285714285714284
Multi-Task (k-NN),Latent k-NN,0.5069428571428571,0.0559795918367347
